country,climate_zone,latitude,longitude,date,month,temperature,humidity,rainfall,wind_speed,crop_type,crop_susceptibility,historical_infestation,aphid_risk,country_encoded,climate_encoded,crop_encoded
UK,temperate,55.3203,-2.544,2020-04-13,4,25.4,48.3,110.5,2.4,Wheat,0.8,0.195,0.078,43,3,7
Spain,temperate,41.1169,-3.4,2020-06-14,6,17.5,53.9,143.2,7.9,Soybean,0.9,0.748,0.023,38,3,5
Vietnam,tropical,13.9655,108.3188,2022-08-07,8,29.1,86.6,288.0,5.8,Soybean,0.9,0.564,0.0,47,4,5
Mexico,arid,24.5891,-101.3812,2023-02-17,2,17.3,45.8,3.2,21.4,Soybean,0.9,0.011,0.075,22,0,5
India,tropical,18.6093,79.913,2022-11-05,11,22.9,79.9,77.1,0.3,Potato,0.4,0.654,0.021,15,4,3
Ukraine,temperate,47.4481,32.3017,2022-12-17,12,11.5,59.9,7.4,0.6,Wheat,0.8,0.429,0.0,45,3,7
Russia,continental,62.4111,105.9381,2020-11-15,11,-3.0,31.0,83.2,18.8,Maize,0.7,0.585,0.0,34,1,2
Finland,continental,62.3068,27.7992,2021-03-26,3,20.8,45.9,10.6,8.8,Maize,0.7,0.299,0.041,11,1,2
Saudi Arabia,arid,22.1309,43.2179,2023-01-06,1,16.4,44.2,8.3,21.5,Maize,0.7,0.361,0.0,35,0,2
Vietnam,tropical,12.932,106.8284,2022-11-05,11,25.8,63.0,52.0,0.9,Wheat,0.8,0.396,0.016,47,4,7
Pakistan,arid,31.3487,70.6126,2020-05-01,5,35.2,44.8,19.8,0.4,Barley,0.7,0.401,0.015,29,0,0
South Africa,temperate,-31.087,22.8207,2020-11-07,11,0.4,64.8,5.1,18.3,Soybean,0.9,0.469,0.038,36,3,5
Bangladesh,temperate,23.9139,88.5561,2020-05-20,5,30.2,73.3,28.2,5.0,Wheat,0.8,0.497,0.077,2,3,7
Philippines,tropical,14.541,121.3821,2022-08-02,8,28.2,75.9,236.4,0.8,Potato,0.4,0.691,0.0,31,4,3
Nepal,highland,28.7849,84.2656,2023-07-03,7,11.3,74.3,28.2,3.4,Soybean,0.9,0.198,0.01,24,2,5
Argentina,temperate,-38.1721,-63.7145,2020-12-15,12,6.6,64.7,16.6,18.3,Barley,0.7,0.317,0.0,0,3,0
Saudi Arabia,arid,23.0808,45.1757,2021-04-18,4,36.7,35.5,9.7,6.7,Rice,0.6,0.496,0.0,35,0,4
Bangladesh,temperate,25.2271,88.586,2021-12-13,12,6.8,78.1,100.1,10.3,Rice,0.6,0.707,0.0,2,3,4
Chile,temperate,-33.8886,-71.2482,2023-03-09,3,15.2,57.6,136.4,17.0,Maize,0.7,0.114,0.0,6,3,2
Australia,temperate,-27.2724,133.7129,2021-07-24,7,19.1,61.3,97.4,12.4,Sugarcane,0.3,0.383,0.014,1,3,6
Brazil,tropical,-13.1498,-50.5785,2023-12-15,12,31.7,85.2,71.1,5.5,Barley,0.7,0.336,0.0,4,4,0
Belgium,temperate,52.3841,3.7614,2021-04-30,4,22.3,77.2,1.3,11.6,Rice,0.6,0.274,0.15,3,3,4
Russia,continental,60.8217,103.7694,2023-02-13,2,5.6,32.0,54.3,1.4,Potato,0.4,0.67,0.044,34,1,3
New Zealand,temperate,-40.931,173.1867,2021-10-22,10,4.0,41.7,13.0,6.1,Maize,0.7,0.41,0.0,26,3,2
